address,balance,total_received,total_sent,n_tx,final_balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,label,category
1AzSDDQuQm18uwzGwWVsTpVqkbRbLJ9wBg,0,4723071,4723071,84,0.0,0,84,96,38307541,98397.3125,0,services
1AztFCzvoWffs1Zh56V1rPsvAhQk36FqVK,0,53980621,53980621,31,0.0,0,31,34,12539992,3175330.6470588236,0,exchange
1AZthyaCSz2R1PseSNEpSTBRmc1PpeahxE,0,87135787,87135787,114,0.0,0,114,114,37131790,1528698.0175438595,0,miner
1AzUpRFNQx9JWgjA5Bdb9GhBnw7VpgUeFK,0,157270000,157270000,11,0.0,0,11,14,7204790,22467142.85714286,0,services
1AzvevZ5d4ihtD5YT4hgJ59UVHgABii1ts,0,238981257,238981257,154,0.0,0,154,201,108494059,2053114.3980099503,1,gambling
1AZwaUn273AjjRkn8fYRo2oo7FTXGUbDnJ,0,66755220585,66755220585,193,0.0,0,193,196,101901052,681175720.255102,1,gambling
1B19Q1GPHbd6qRBijMErCi9YSvweSWbeG,0,103780353,103780353,27,0.0,0,27,30,12477875,6918690.2,0,exchange
1B2ogiAhLiEm1ADXTYt5RyvY9UG5acR2z6,1638,108003620,108001982,29,1638.0,0,29,29,10931401,7448469.0344827585,0,exchange
1B37Wr7MWGwtrJtaJmmocRrZSBSorQt1a2,0,197691265,197691265,338,0.0,0,338,200,102084643,1306412.35,1,gambling
1B3icZUkyjY2tUD233WZSYm3zPoNiDsB1T,0,221350557,221350557,24,0.0,0,24,24,6996694,18445879.75,0,miner
1B3kS171xgmVCBfsNaCwNiGN7Xq5zUSkDQ,0,148351274,148351274,10,0.0,0,10,10,3964684,29670254.8,0,exchange
1B3KwYcxyVisZPcsnzqQM1Rfudfz2PCRT9,0,16800415,16800415,14,0.0,0,14,14,5328688,2400059.285714286,0,miner
1B3xxbwtzwzx8ERPDZpVAEGzG2DstuXYcp,0,350000,350000,2,0.0,0,2,2,761572,350000.0,0,miner
1B41M59EQ4Yc4tzBh3wLjQ7apQVi9CGPSP,0,70568555,70568555,2,0.0,0,2,2,1005884,70568555.0,0,coinjoin-like
1B4AGpnR3rJxMSvRac3LACFAhMv7qbVkKV,0,241532698,241532698,22,0.0,0,22,22,8812385,21957518.0,0,exchange
1B4FNybtnE5kPLJ31RAEgjTpBYfnVWLhPv,0,249558093,249558093,35,0.0,0,35,38,14410975,13134636.47368421,0,exchange
1B4XNdkgEdgq5tvwXpGNe8MJBiTpfshzDu,0,10999518,10999518,126,0.0,0,126,138,52548871,159413.30434782608,0,services
1B4zrqcty9hLXWjmP7zxWcbBTMH6wG1ZkN,0,1400000,1400000,2,0.0,0,2,2,761425,1400000.0,0,miner
1B55K4WuR1AQKCmF8WznDmhZNw6G1x8uEc,0,138296306478,138296306478,108,0.0,0,108,110,58806377,2514478299.6,0,mining_pool
1B55s9tps8vxDAtKCZYCbCfAQM2QwERX76,0,21875936,21875936,6,0.0,0,6,6,2343837,7291978.666666667,0,miner
1B5ArJHi4nL8Rm3UnK7cW3SxU5dz13siQ1,0,31018000,31018000,7,0.0,0,7,8,4089150,7754500.0,0,services
1B5BL3tRr4xV7w2EfYRDz4Djdddjuotu96,0,54971837,54971837,9,0.0,0,9,10,3864672,10994367.4,0,exchange
