address,balance,total_received,total_sent,n_tx,final_balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,label,category
12kjLGHGcAZtWnxhAjV4uUp7i8yU7JGNTu,0,1425951909,1425951909,18,0,0,18,18,7141424,158439101.0,0,exchange
12kNm85AARqenDzxfDJ65AmijRYvHfE9qQ,0,8091236645,8091236645,199,0,0,199,200,75105305,79312366.45,0,exchange
12KQJC6oqdtcEJPe6MEK1idETNceZ4BZ3F,0,619059532,619059532,506,0,0,506,200,76360275,2475100.0,0,exchange
12KVGirX611PmFzabZRd8zDm5z4oJtdcbQ,0,142250000,142250000,9,0,0,9,10,3798921,28450000.0,0,exchange
12KW317DPmkRnPvmM4LzkQcGuNwzc6JtQi,0,47795690400,47795690400,69,0,0,69,132,93979778,724177127.2727273,0,coinjoin-like
12L7915hVTPBqwVmTdGGJ2tVu382aFLygS,0,280700,280700,2,0,0,2,2,761931,280700.0,0,services
12L8fgHRVx9NF36JYvavsvxMmmX2kHvbFL,0,10993100,10993100,2,0,0,2,2,760981,10993100.0,0,services
12L93eTmoai1kzrxmor1jukqcp4U4qbjTY,0,2010281055,2010281055,123,0,0,123,126,40847715,31909223.095238097,0,miner
12LeTvyL8CJ3v1rQc9osU1seBqiLK7xqwb,0,11120376,11120376,4,0,0,4,4,1521962,5560188.0,0,exchange
12LF7Lhe55AYcH2kk3FQoMMj8NqH4bKC6m,0,1924894,1924894,4,0,0,4,4,1525262,962447.0,0,exchange
12Lk4mRBgjBH9Xx7u1QM9guqMAotVNs2yJ,0,6969463,6969463,2,0,0,2,2,760985,6969463.0,0,miner
12Lq2nDBsqGbQ7WvHJvs34Pt6MV5EGYDtj,0,2308329720,2308329720,48,0,0,48,48,18753065,96180405.0,0,miner
12LSafPpPrHAtRFKSyQh7oXAatQRLooE8Y,0,9822788,9822788,8,0,0,8,8,3117033,2455697.0,0,miner
12LYtMEzKPsWQfsPnDunwpszkD2zpWSM4t,0,7589192,7589192,2,0,0,2,2,760986,7589192.0,0,exchange
12m3gZqzskdX327V9Vv6jddTJXLMFzdppp,0,459434483,459434483,56,0,0,56,58,22009200,15842568.379310345,0,exchange
12mdATDWnxc7iTFLsvahNUqAESyg4JTmzZ,0,2138032996,2138032996,50,0,0,50,50,19148756,85521319.84,0,exchange
12MsDD2VnYHvgJHZEbTekyg4G63warHTCj,41551,477179084634,477179043083,2406,41551,0,2406,200,63817997,435048824.905,0,exchange
12mwV26f3eqtBagbNEZu55YHdAidqMVnvv,0,747051938,747051938,56,0,0,56,56,20477855,26680426.35714286,0,miner
12n2mqWWLuTC1BENbizpibhz4EsjRynJe2,0,667426,667426,2,0,0,2,2,760998,667426.0,0,miner
12n2q8Bm78rxHSmktCqQcpwjdNZpkEyLUc,0,25040809513,25040809513,217,0,0,217,213,101809715,195869009.45539907,0,coinjoin-like
12NBGsxQZv7qq75RdBoCsf4ZiwGcr5VgtB,0,48044404,48044404,16,0,0,16,16,6130689,6005550.5,0,miner
12nbJMyDXjarnxZTovLGgy84dFzZEevTji,2350000,3608350000,3606000000,3,2350000,0,3,3,1851015,2404783333.3333335,0,coinjoin-like
12nCA43ZzFixdi8ZFJouWhn5HwXrYiz3JH,0,49000000,49000000,4,0,0,4,4,1522147,24500000.0,0,exchange
12nciKoTd1ymQ7PPnzmpuYajcmUUZe4UHW,0,44189470,44189470,2,0,0,2,2,1005272,44189470.0,0,coinjoin-like
12NdpceuYCD1L32aQwmbtZtEWnwQsmNA25,0,889641586,889641586,536,0,0,536,200,82689350,1363351.56,1,gambling
12nNMj2X1vNxeF239io3eGMScFuTq1K4jW,0,37210480,37210480,85,0,0,85,86,32139027,865360.0,0,services
12nnNg9Tc1RUt1yzo8CmWfdxZzAiwEtG5Y,0,440652836,440652836,115,0,0,115,138,68056795,6386272.985507246,1,gambling
12noP4V7Xu5jwJ3a7GTUmWvDY5oAj1N7Nk,0,36289025,36289025,174,0,0,174,174,65059766,417115.2298850575,0,miner
12NRXRXchMpK9DBjtstbXA3rhpV56ymsZv,0,35443574,35443574,30,0,0,30,30,11468892,2362904.933333333,0,miner
12nxcK12z2v2e7Lic5vgwc6TuLBQD8b9Xj,0,1954223820,1954223820,22,0,0,22,22,8660028,177656710.9090909,0,miner
12NxEoTGJxVzndCtrW6crLCinTWe9nyBe4,0,5419199315,5419199315,16,0,0,16,16,6087503,677399914.375,0,miner
12NZQtXWKQ6kn1MCTBjEoDEa3WeSAnkQfG,0,603350,603350,2,0,0,2,2,762897,603350.0,0,exchange
12o8pPPbrcDmNN3EByiwSPF8YxWTEo8G67,0,8775000,8775000,8,0,0,8,10,5137838,1755000.0,0,services
12oC5Q9mYehyhR5UEthhLJg7NDNZrgWDqo,0,790792,790792,4,0,0,4,4,1461073,395396.0,0,miner
12oKg9ycEtCJbMa5aMnRuwSogo2fb669Ha,0,19662381682,19662381682,238,0,0,238,237,90072561,82963635.78902954,0,miner
12oQFYZoPinrYye6b4FewT6YxUNg4jAs9f,0,10198953363,10198953363,26,0,0,26,26,10212704,784534874.0769231,0,exchange
12otnGW8qgDRzN7KUgxud4Z9EQ8XjCzSTL,0,2847150,2847150,775,0,0,775,201,112248565,5550.0,1,gambling
12oZe4mrmYYMHqtEMe4zaQM86mzDyqRwCy,0,1167876,1167876,10,0,0,10,10,3797801,233575.2,0,exchange
12P1tg5NkmDNn1FfzkzBzvihBK2eFgeF2H,0,888979,888979,2,0,0,2,2,761031,888979.0,0,miner
